state_abbrev,state_name,year,beer_tax_usd_per_gallon
AL,Alabama,2003,1.05
AL,Alabama,2004,1.05
AL,Alabama,2005,1.05
AL,Alabama,2006,1.05
AL,Alabama,2007,1.05
AL,Alabama,2008,1.05
AL,Alabama,2009,1.05
AL,Alabama,2010,1.05
AL,Alabama,2011,1.05
AL,Alabama,2012,1.05
AL,Alabama,2013,1.05
AL,Alabama,2014,1.05
AL,Alabama,2015,1.05
AL,Alabama,2016,1.05
AL,Alabama,2017,1.05
AL,Alabama,2018,1.05
AL,Alabama,2019,1.05
AL,Alabama,2020,1.05
AL,Alabama,2021,1.05
AL,Alabama,2022,1.05
AL,Alabama,2023,1.05
AK,Alaska,2003,1.07
AK,Alaska,2004,1.07
AK,Alaska,2005,1.07
AK,Alaska,2006,1.07
AK,Alaska,2007,1.07
AK,Alaska,2008,1.07
AK,Alaska,2009,1.07
AK,Alaska,2010,1.07
AK,Alaska,2011,1.07
AK,Alaska,2012,1.07
AK,Alaska,2013,1.07
AK,Alaska,2014,1.07
AK,Alaska,2015,1.07
AK,Alaska,2016,1.07
AK,Alaska,2017,1.07
AK,Alaska,2018,1.07
AK,Alaska,2019,1.07
AK,Alaska,2020,1.07
AK,Alaska,2021,1.07
AK,Alaska,2022,1.07
AK,Alaska,2023,1.07
AZ,Arizona,2003,0.16
AZ,Arizona,2004,0.16
AZ,Arizona,2005,0.16
AZ,Arizona,2006,0.16
AZ,Arizona,2007,0.16
AZ,Arizona,2008,0.16
AZ,Arizona,2009,0.16
AZ,Arizona,2010,0.16
AZ,Arizona,2011,0.16
AZ,Arizona,2012,0.16
AZ,Arizona,2013,0.16
AZ,Arizona,2014,0.16
AZ,Arizona,2015,0.16
AZ,Arizona,2016,0.16
AZ,Arizona,2017,0.16
AZ,Arizona,2018,0.16
AZ,Arizona,2019,0.16
AZ,Arizona,2020,0.16
AZ,Arizona,2021,0.16
AZ,Arizona,2022,0.16
AZ,Arizona,2023,0.16
AR,Arkansas,2003,0.24
AR,Arkansas,2004,0.24
AR,Arkansas,2005,0.24
AR,Arkansas,2006,0.24
AR,Arkansas,2007,0.24
AR,Arkansas,2008,0.24
AR,Arkansas,2009,0.24
AR,Arkansas,2010,0.24
AR,Arkansas,2011,0.24
AR,Arkansas,2012,0.24
AR,Arkansas,2013,0.24
AR,Arkansas,2014,0.24
AR,Arkansas,2015,0.24
AR,Arkansas,2016,0.24
AR,Arkansas,2017,0.24
AR,Arkansas,2018,0.24
AR,Arkansas,2019,0.24
AR,Arkansas,2020,0.24
AR,Arkansas,2021,0.24
AR,Arkansas,2022,0.24
AR,Arkansas,2023,0.24
CA,California,2003,0.2
CA,California,2004,0.2
CA,California,2005,0.2
CA,California,2006,0.2
CA,California,2007,0.2
CA,California,2008,0.2
CA,California,2009,0.2
CA,California,2010,0.2
CA,California,2011,0.2
CA,California,2012,0.2
CA,California,2013,0.2
CA,California,2014,0.2
CA,California,2015,0.2
CA,California,2016,0.2
CA,California,2017,0.2
CA,California,2018,0.2
CA,California,2019,0.2
CA,California,2020,0.2
CA,California,2021,0.2
CA,California,2022,0.2
CA,California,2023,0.2
CO,Colorado,2003,0.08
CO,Colorado,2004,0.08
CO,Colorado,2005,0.08
CO,Colorado,2006,0.08
CO,Colorado,2007,0.08
CO,Colorado,2008,0.08
CO,Colorado,2009,0.08
CO,Colorado,2010,0.08
CO,Colorado,2011,0.08
CO,Colorado,2012,0.08
CO,Colorado,2013,0.08
CO,Colorado,2014,0.08
CO,Colorado,2015,0.08
CO,Colorado,2016,0.08
CO,Colorado,2017,0.08
CO,Colorado,2018,0.08
CO,Colorado,2019,0.08
CO,Colorado,2020,0.08
CO,Colorado,2021,0.08
CO,Colorado,2022,0.08
CO,Colorado,2023,0.08
CT,Connecticut,2003,0.2
CT,Connecticut,2004,0.2
CT,Connecticut,2005,0.2
CT,Connecticut,2006,0.2
CT,Connecticut,2007,0.2
