topic_key,state_name,state_abbrev,effective_date,year,change_text
sunday_sales,Colorado,CO,7/1/2008,2008,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B111%5D=111 ""View - Topic Details"")"
sunday_sales,Connecticut,CT,5/14/2012,2012,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B112%5D=112 ""View - Topic Details"")"
sunday_sales,Delaware,DE,5/15/2003,2003,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B113%5D=113 ""View - Topic Details"")"
sunday_sales,Georgia,GA,4/28/2011,2011,"Local option authorized * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B116%5D=116 ""View - Topic Details"")"
sunday_sales,Illinois,IL,7/15/2015,2015,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B119%5D=119 ""View - Topic Details"")"
sunday_sales,Indiana,IN,2/28/2018,2018,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B120%5D=120 ""View - Topic Details"")"
sunday_sales,Kansas,KS,11/15/2005,2005,"Local option authorized * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B122%5D=122 ""View - Topic Details"")"
sunday_sales,Kentucky,KY,6/25/2013,2013,"Restrictions on Sunday sales change * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B123%5D=123 ""View - Topic Details"")"
sunday_sales,Massachusetts,MA,11/26/2003,2003,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B127%5D=127 ""View - Topic Details"")"
sunday_sales,Minnesota,MN,7/1/2017,2017,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B129%5D=129 ""View - Topic Details"")"
sunday_sales,Oklahoma,OK,10/1/2018,2018,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B142%5D=142 ""View - Topic Details"")"
sunday_sales,Pennsylvania,PA,2/7/2003,2003,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B144%5D=144 ""View - Topic Details"")"
sunday_sales,Rhode Island,RI,7/1/2004,2004,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B145%5D=145 ""View - Topic Details"")"
sunday_sales,Tennessee,TN,4/20/2018,2018,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B148%5D=148 ""View - Topic Details"")"
sunday_sales,Utah,UT,11/1/2019,2019,"Exception for 3.2 beer sales eliminated * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B150%5D=150 ""View - Topic Details"")"
sunday_sales,Virginia,VA,7/1/2004,2004,"Sunday sales ban repealed * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/bans-on-off-premises-sunday-sales/28/changes-over-time?jr%5B152%5D=152 ""View - Topic Details"")"
sunday_sales,Colorado,CO,7/1/2008,2008,Sunday sales ban repealed
sunday_sales,Connecticut,CT,5/14/2012,2012,Sunday sales ban repealed
sunday_sales,Delaware,DE,5/15/2003,2003,Sunday sales ban repealed
sunday_sales,Georgia,GA,4/28/2011,2011,Policy change
sunday_sales,Illinois,IL,7/15/2015,2015,Sunday sales ban repealed
sunday_sales,Indiana,IN,2/28/2018,2018,Policy change
sunday_sales,Kansas,KS,11/15/2005,2005,Policy change
sunday_sales,Kentucky,KY,6/25/2013,2013,Policy change
sunday_sales,Massachusetts,MA,11/26/2003,2003,Policy change
sunday_sales,Minnesota,MN,7/1/2017,2017,Sunday sales ban repealed
sunday_sales,Oklahoma,OK,10/1/2018,2018,Sunday sales ban repealed
sunday_sales,Pennsylvania,PA,2/7/2003,2003,Policy change
sunday_sales,Rhode Island,RI,7/1/2004,2004,Policy change
sunday_sales,Tennessee,TN,4/20/2018,2018,Policy change
sunday_sales,Utah,UT,11/1/2019,2019,Policy change
sunday_sales,Virginia,VA,7/1/2004,2004,Sunday sales ban repealed
sunday_sales,Colorado,CO,7/1/2008,2008,Sunday sales ban repealed
sunday_sales,Connecticut,CT,5/14/2012,2012,Sunday sales ban repealed
sunday_sales,Delaware,DE,5/15/2003,2003,Sunday sales ban repealed
sunday_sales,Georgia,GA,4/28/2011,2011,Policy change
sunday_sales,Illinois,IL,7/15/2015,2015,Sunday sales ban repealed
sunday_sales,Indiana,IN,2/28/2018,2018,Policy change
sunday_sales,Kansas,KS,11/15/2005,2005,Policy change
sunday_sales,Kentucky,KY,6/25/2013,2013,Policy change
sunday_sales,Massachusetts,MA,11/26/2003,2003,Policy change
sunday_sales,Minnesota,MN,7/1/2017,2017,Sunday sales ban repealed
