year,unemployment_rate,pcpi_nominal,population_thousands,state_abbrev,state_name,state_fips
2003,5.95,26700.0,4503.491,AL,Alabama,01
2004,5.575,28385.0,4530.729,AL,Alabama,01
2005,4.458333333333333,29780.0,4569.805,AL,Alabama,01
2006,4.008333333333333,31264.0,4628.981,AL,Alabama,01
2007,4.066666666666666,32516.0,4672.84,AL,Alabama,01
2008,5.916666666666667,33441.0,4718.206,AL,Alabama,01
2009,9.733333333333333,32717.0,4757.938,AL,Alabama,01
2010,10.375,33848.0,4785.514,AL,Alabama,01
2011,9.558333333333334,34884.0,4799.642,AL,Alabama,01
2012,8.174999999999999,35559.0,4816.632,AL,Alabama,01
2013,7.358333333333333,35706.0,4831.586,AL,Alabama,01
2014,6.766666666666667,36722.0,4843.737,AL,Alabama,01
2015,6.083333333333333,38189.0,4854.803,AL,Alabama,01
2016,5.8,38704.0,4866.824,AL,Alabama,01
2017,4.508333333333334,39968.0,4877.989,AL,Alabama,01
2018,3.9250000000000003,41324.0,4891.628,AL,Alabama,01
2019,3.1916666666666664,42998.0,4907.965,AL,Alabama,01
2020,6.408333333333334,45843.0,5033.094,AL,Alabama,01
2021,3.35,50495.0,5049.196,AL,Alabama,01
2022,2.4916666666666667,51660.0,5076.181,AL,Alabama,01
2023,2.4666666666666663,54112.0,5117.673,AL,Alabama,01
2003,7.675,36045.0,648.414,AK,Alaska,02
2004,7.416666666666667,37054.0,659.286,AK,Alaska,02
2005,6.925,39013.0,666.946,AK,Alaska,02
2006,6.616666666666667,41013.0,675.302,AK,Alaska,02
2007,6.25,43747.0,680.3,AK,Alaska,02
2008,6.508333333333333,47800.0,687.455,AK,Alaska,02
2009,7.833333333333333,47211.0,698.895,AK,Alaska,02
2010,7.991666666666667,49543.0,713.982,AK,Alaska,02
2011,7.608333333333333,52415.0,722.349,AK,Alaska,02
2012,7.133333333333333,53340.0,730.81,AK,Alaska,02
2013,6.925000000000001,52252.0,737.626,AK,Alaska,02
2014,6.741666666666667,55098.0,737.075,AK,Alaska,02
2015,6.283333333333334,56714.0,738.43,AK,Alaska,02
2016,6.625,55536.0,742.575,AK,Alaska,02
2017,6.608333333333333,56500.0,740.983,AK,Alaska,02
2018,6.091666666666666,58997.0,736.624,AK,Alaska,02
2019,5.6000000000000005,60504.0,733.603,AK,Alaska,02
2020,8.283333333333333,61853.0,733.017,AK,Alaska,02
2021,6.3999999999999995,65608.0,734.42,AK,Alaska,02
