state_abbrev,year,vmt_total_million
AK,2003,4915.573828618918
AK,2004,5042.396140564079
AK,2005,5084.301179508624
AK,2006,5126.289555719628
AK,2007,5153.0
AK,2008,4865.0
AK,2009,4933.0
AK,2010,4798.0
AK,2011,4593.0
AK,2012,4792.0
AK,2013,4848.0
AK,2014,4857.0
AK,2015,5045.0
AK,2016,5259.0
AK,2017,5519.0
AK,2018,5487.0
AK,2019,5881.0
AK,2020,5306.0
AK,2021,5752.0
AK,2022,5478.0
AK,2023,5617.0
AL,2003,58580.514033667336
AL,2004,60091.897339809846
AL,2005,60591.293505457914
AL,2006,61091.682828787576
AL,2007,61410.0
AL,2008,59303.0
AL,2010,64165.0
AL,2011,64914.0
AL,2012,64959.0
AL,2013,65046.0
AL,2014,65667.0
AL,2015,67257.0
AL,2016,69227.0
AL,2017,70677.0
AL,2018,71167.0
AL,2019,71735.0
AL,2020,67921.0
AL,2021,71892.0
AL,2022,71631.0
AL,2023,72289.0
AR,2003,31642.635255020017
AR,2004,32459.01850934428
AR,2005,32728.770507564637
AR,2006,32999.058966189754
AR,2007,33171.0
AR,2008,33163.0
AR,2009,33154.0
AR,2010,33504.0
AR,2011,32953.0
AR,2012,33522.0
AR,2013,33493.0
AR,2014,34024.0
AR,2015,34897.0
AR,2016,35755.0
AR,2017,36389.0
AR,2018,36675.0
AR,2019,37099.0
AR,2020,33919.0
AR,2021,38427.0
AR,2022,38530.0
AR,2023,39101.0
AZ,2003,60061.95904741567
AZ,2004,61611.56378776172
AZ,2005,62123.58920345459
AZ,2006,62636.63289283426
AZ,2007,62963.0
AZ,2008,61628.0
AZ,2010,59995.0
AZ,2011,59575.0
AZ,2012,60129.0
AZ,2013,60586.0
AZ,2014,62631.0
AZ,2015,65045.0
AZ,2016,65786.0
AZ,2017,65070.0
AZ,2018,66145.0
AZ,2019,70281.0
AZ,2020,65758.0
AZ,2021,73760.0
AZ,2022,76159.0
AZ,2023,75297.0
CA,2003,313184.91651883064
CA,2004,321265.1196780272
CA,2005,323935.0065683748
CA,2006,326610.20310836844
CA,2007,328312.0
CA,2008,327286.0
CA,2009,324486.0
CA,2010,322849.0
CA,2011,320784.0
CA,2012,326272.0
CA,2013,329534.0
CA,2014,332857.0
CA,2015,335539.0
CA,2016,340115.0
CA,2017,343862.0
CA,2018,348796.0
CA,2019,340836.0
CA,2020,299812.0
CA,2021,310823.0
CA,2022,315244.0
CA,2023,316612.0
CO,2003,46468.532488552955
CO,2004,47667.42542117174
CO,2005,48063.56750580315
CO,2006,48460.49740496221
CO,2007,48713.0
CO,2008,47860.0
CO,2009,46230.0
CO,2010,46940.0
CO,2011,46606.0
CO,2012,46769.0
CO,2013,46968.0
CO,2014,48985.0
CO,2015,50437.0
CO,2016,52152.0
CO,2017,53382.0
CO,2018,53954.0
CO,2019,54634.0
CO,2020,48642.0
CO,2021,53840.0
CO,2022,53935.0
CO,2023,54654.0
CT,2003,30576.14747306854
CT,2004,31365.015232583046
CT,2005,31625.67547191732
CT,2006,31886.85409072021
CT,2007,32053.0
CT,2008,31737.0
CT,2009,31420.0
CT,2010,31294.0
CT,2011,31197.0
CT,2012,31269.0
CT,2013,30941.0
CT,2014,31190.0
CT,2015,31592.0
