state_abbrev,year,teen_current_alcohol_use_pct,teen_binge_pct,teen_source,coverage_flag
AK,1995,47.5229,,YRBS_Socrata,observed
AK,2003,38.6724,,YRBS_Socrata,observed
AK,2007,39.7092,,YRBS_Socrata,observed
AK,2009,33.1906,,YRBS_Socrata,observed
AK,2011,28.5643,,YRBS_Socrata,observed
AK,2013,22.5411,,YRBS_Socrata,observed
AK,2015,21.9982,,YRBS_Socrata,observed
AK,2017,22.7953,13.7872,YRBS_Socrata,observed
AK,2019,,,YRBS_Explorer,missing_no_state_data
AK,2021,,,YRBS_Explorer,missing_no_state_data
AK,2023,,,YRBS_Explorer,missing_no_state_data
AL,1991,46.7835,,YRBS_Socrata,observed
AL,1993,43.906,,YRBS_Socrata,observed
AL,1995,43.8713,,YRBS_Socrata,observed
AL,1997,46.6747,,YRBS_Socrata,observed
AL,1999,45.4222,,YRBS_Socrata,observed
AL,2001,42.5657,,YRBS_Socrata,observed
AL,2003,40.2416,,YRBS_Socrata,observed
AL,2005,39.4337,,YRBS_Socrata,observed
AL,2009,39.4606,,YRBS_Socrata,observed
AL,2011,35.6443,,YRBS_Socrata,observed
AL,2013,35.0423,,YRBS_Socrata,observed
AL,2015,30.6566,,YRBS_Socrata,observed
AL,2019,,,YRBS_Explorer,missing_no_state_data
AL,2021,,,YRBS_Explorer,missing_no_state_data
AL,2023,,,YRBS_Explorer,missing_no_state_data
AR,1995,51.4503,,YRBS_Socrata,observed
AR,1997,50.1192,,YRBS_Socrata,observed
AR,1999,48.2518,,YRBS_Socrata,observed
AR,2001,47.935,,YRBS_Socrata,observed
AR,2005,43.1281,,YRBS_Socrata,observed
AR,2007,42.1571,,YRBS_Socrata,observed
AR,2009,39.7487,,YRBS_Socrata,observed
AR,2011,33.865,,YRBS_Socrata,observed
AR,2013,36.2889,,YRBS_Socrata,observed
AR,2015,27.5531,,YRBS_Socrata,observed
AR,2017,25.7413,11.7078,YRBS_Socrata,observed
AR,2019,,,YRBS_Explorer,missing_no_state_data
AR,2021,,,YRBS_Explorer,missing_no_state_data
AR,2023,,,YRBS_Explorer,missing_no_state_data
AZ,2019,,,YRBS_Explorer,missing_no_state_data
AZ,2021,,,YRBS_Explorer,missing_no_state_data
AZ,2023,,,YRBS_Explorer,missing_no_state_data
CA,2015,28.8633,,YRBS_Socrata,observed
CA,2017,30.0214,13.341,YRBS_Socrata,observed
CA,2019,,,YRBS_Explorer,missing_no_state_data
CA,2021,,,YRBS_Explorer,missing_no_state_data
CA,2023,,,YRBS_Explorer,missing_no_state_data
CO,2005,47.3798,,YRBS_Socrata,observed
CO,2009,40.7787,,YRBS_Socrata,observed
CO,2011,36.4096,,YRBS_Socrata,observed
CO,2017,26.2203,14.5114,YRBS_Socrata,observed
CO,2019,,,YRBS_Explorer,missing_no_state_data
CO,2021,,,YRBS_Explorer,missing_no_state_data
CO,2023,,,YRBS_Explorer,missing_no_state_data
CT,1997,52.6153,,YRBS_Socrata,observed
CT,2005,45.2709,,YRBS_Socrata,observed
CT,2007,45.9706,,YRBS_Socrata,observed
CT,2009,43.4828,,YRBS_Socrata,observed
CT,2011,41.5414,,YRBS_Socrata,observed
CT,2013,36.7433,,YRBS_Socrata,observed
CT,2015,30.1966,,YRBS_Socrata,observed
CT,2017,30.4074,14.8985,YRBS_Socrata,observed
CT,2019,,,YRBS_Explorer,missing_no_state_data
CT,2021,,,YRBS_Explorer,missing_no_state_data
CT,2023,,,YRBS_Explorer,missing_no_state_data
DC,2019,,,YRBS_Explorer,missing_no_location_code
DC,2021,,,YRBS_Explorer,missing_no_location_code
DC,2023,,,YRBS_Explorer,missing_no_location_code
DE,1999,46.8868,,YRBS_Socrata,observed
DE,2001,46.3666,,YRBS_Socrata,observed
DE,2003,45.4093,,YRBS_Socrata,observed
DE,2005,43.0744,,YRBS_Socrata,observed
DE,2007,45.1892,,YRBS_Socrata,observed
DE,2009,43.6597,,YRBS_Socrata,observed
DE,2011,40.4107,,YRBS_Socrata,observed
DE,2013,36.331,,YRBS_Socrata,observed
DE,2015,31.4425,,YRBS_Socrata,observed
DE,2017,28.737,14.9208,YRBS_Socrata,observed
DE,2019,,,YRBS_Explorer,missing_no_state_data
DE,2021,,,YRBS_Explorer,missing_no_state_data
DE,2023,,,YRBS_Explorer,missing_no_state_data
FL,2001,45.0116,,YRBS_Socrata,observed
FL,2003,42.6588,,YRBS_Socrata,observed
FL,2005,39.7367,,YRBS_Socrata,observed
FL,2007,42.2905,,YRBS_Socrata,observed
FL,2009,40.5391,,YRBS_Socrata,observed
FL,2011,36.9743,,YRBS_Socrata,observed
FL,2013,34.8481,,YRBS_Socrata,observed
FL,2015,33.0355,,YRBS_Socrata,observed
FL,2017,27.0376,12.6889,YRBS_Socrata,observed
FL,2019,,,YRBS_Explorer,missing_no_state_data
FL,2021,,,YRBS_Explorer,missing_no_state_data
FL,2023,,,YRBS_Explorer,missing_no_state_data
GA,1991,47.1528,,YRBS_Socrata,observed
GA,1993,44.052,,YRBS_Socrata,observed
GA,2003,37.74,,YRBS_Socrata,observed
GA,2005,39.9065,,YRBS_Socrata,observed
GA,2007,37.7352,,YRBS_Socrata,observed
GA,2009,34.2795,,YRBS_Socrata,observed
GA,2011,34.556,,YRBS_Socrata,observed
GA,2013,27.8754,,YRBS_Socrata,observed
GA,2019,,,YRBS_Explorer,missing_no_state_data
