state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita
02,AK,Alaska,2003,1.07,0,0,98,29,53,4.472451242570333,8.173790201938886,7.675,36045.0,648.414,4915.573828618918,7580.9187164665145
02,AK,Alaska,2004,1.07,0,3,101,30,67,4.550377226272058,10.162509138674263,7.416666666666667,37054.0,659.286,5042.396140564079,7648.268187954968
02,AK,Alaska,2005,1.07,0,0,73,32,34,4.79798964233986,5.097863994986101,6.925,39013.0,666.946,5084.301179508624,7623.257624318347
02,AK,Alaska,2006,1.07,0,0,74,25,45,3.702047380283192,6.663685284509746,6.616666666666667,41013.0,675.302,5126.289555719628,7591.106728129975
02,AK,Alaska,2007,1.07,0,0,82,29,44,4.26282522416581,6.467734822872262,6.25,43747.0,680.3,5153.0,7574.599441422902
02,AK,Alaska,2008,1.07,0,0,62,27,13,3.927529801950673,1.8910328676058796,6.508333333333333,47800.0,687.455,4865.0,7076.826846848157
02,AK,Alaska,2009,1.07,0,0,64,27,12,3.8632412594166508,1.7169961152962891,7.833333333333333,47211.0,698.895,4933.0,7058.284863963829
02,AK,Alaska,2010,1.07,0,0,56,19,12,2.6611315131193782,1.6807146398648705,7.991666666666667,49543.0,713.982,4798.0,6720.057368393041
02,AK,Alaska,2011,1.07,0,0,72,23,19,3.184056460242902,2.6303075106354408,7.608333333333333,52415.0,722.349,4593.0,6358.422313867673
02,AK,Alaska,2012,1.07,0,0,59,17,22,2.3261860127803398,3.0103583694804392,7.133333333333333,53340.0,730.81,4792.0,6557.107866613757
02,AK,Alaska,2013,1.07,0,0,51,16,19,2.1691209366264204,2.575831112243874,6.925000000000001,52252.0,737.626,4848.0,6572.436437978054
02,AK,Alaska,2014,1.07,0,0,73,28,20,3.79879930807584,2.7134280771970287,6.741666666666667,55098.0,737.075,4857.0,6589.560085472985
02,AK,Alaska,2015,1.07,0,0,65,24,21,3.250138808011592,2.843871457010143,6.283333333333334,56714.0,738.43,5045.0,6832.062619341034
02,AK,Alaska,2016,1.07,0,0,84,39,28,5.251994748005252,3.7706628960037705,6.625,55536.0,742.575,5259.0,7082.112917887082
02,AK,Alaska,2017,1.07,0,0,79,22,19,2.9690289790723945,2.564161391017068,6.608333333333333,56500.0,740.983,5519.0,7448.214061591157
02,AK,Alaska,2018,1.07,0,0,80,32,19,4.344143009187862,2.5793349117052933,6.091666666666666,58997.0,736.624,5487.0,7448.847716066813
02,AK,Alaska,2019,1.07,0,0,67,25,20,3.4078377542076574,2.7262702033661257,5.6000000000000005,60504.0,733.603,5881.0,8016.597532998093
02,AK,Alaska,2020,1.07,0,0,64,20,12,2.7284496812488657,1.6370698087493194,8.283333333333333,61853.0,733.017,5306.0,7238.577004353241
02,AK,Alaska,2021,1.07,0,0,70,29,20,3.948694207674083,2.723237384602816,6.3999999999999995,65608.0,734.42,5752.0,7832.030718117699
02,AK,Alaska,2022,1.07,0,0,82,21,18,2.859313601346328,2.4508402297254244,4.258333333333334,68905.0,734.442,5478.0,7458.7237657977075
02,AK,Alaska,2023,1.07,0,0,60,17,12,2.3081831882798602,1.6293057799622546,4.241666666666666,71309.0,736.51,5617.0,7626.508805039986
01,AL,Alabama,2003,1.05,0,0,1004,311,738,6.90575378078917,16.387287106824463,5.95,26700.0,4503.491,58580.514033667336,13007.800844648593
01,AL,Alabama,2004,1.05,0,0,1154,249,1063,5.495804317583329,23.462007990325617,5.575,28385.0,4530.729,60091.897339809846,13263.18509445386
01,AL,Alabama,2005,1.05,0,0,1148,351,796,7.6808529029138,17.41868635532588,4.458333333333333,29780.0,4569.805,60591.293505457914,13259.054490390272
01,AL,Alabama,2006,1.05,0,0,1207,329,906,7.1073957745776015,19.572342163426462,4.008333333333333,31264.0,4628.981,61091.682828787576,13197.65253492887
01,AL,Alabama,2007,1.05,0,0,1110,368,760,7.875296393627858,16.264199073796664,4.066666666666666,32516.0,4672.84,61410.0,13141.900856866489
01,AL,Alabama,2008,1.05,0,0,969,314,605,6.655071864178885,12.822670311554859,5.916666666666667,33441.0,4718.206,59303.0,12568.972189853517
01,AL,Alabama,2009,1.05,0,0,848,275,487,5.7798147012424295,10.235526398200228,9.733333333333333,32717.0,4757.938,,
01,AL,Alabama,2010,1.05,0,0,862,256,488,5.349477610973451,10.19744169591814,10.375,33848.0,4785.514,64165.0,13408.173082348103
01,AL,Alabama,2011,1.05,0,0,895,271,489,5.646254449811048,10.188259874382299,9.558333333333334,34884.0,4799.642,64914.0,13524.758721587985
01,AL,Alabama,2012,1.05,0,0,865,244,503,5.065780404232667,10.442981734955048,8.174999999999999,35559.0,4816.632,64959.0,13486.394642563517
01,AL,Alabama,2013,1.05,0,0,853,245,506,5.070798698398414,10.472751597508562,7.358333333333333,35706.0,4831.586,65046.0,13462.660087184622
01,AL,Alabama,2014,1.05,0,0,820,258,447,5.326465908450438,9.228411864640876,6.766666666666667,36722.0,4843.737,65667.0,13557.09445000833
01,AL,Alabama,2015,1.05,0,0,850,243,166,5.00535243139629,3.4192942535464366,6.083333333333333,38189.0,4854.803,67257.0,13853.703229564619
01,AL,Alabama,2016,1.05,0,0,1083,310,204,6.3696570905378955,4.191645311192679,5.8,38704.0,4866.824,69227.0,14224.266174408609
01,AL,Alabama,2017,1.05,0,0,948,246,164,5.043061802722392,3.362041201814928,4.508333333333334,39968.0,4877.989,70677.0,14488.9625622362
01,AL,Alabama,2018,1.05,0,0,953,227,152,4.640581826745615,3.1073499456622624,3.925,41324.0,4891.628,71167.0,14548.735104141198
01,AL,Alabama,2019,1.05,0,0,930,254,178,5.17526102977507,3.626757729527411,3.1916666666666664,42998.0,4907.965,71735.0,14616.03740042971
01,AL,Alabama,2020,1.05,0,0,934,218,133,4.33133178120655,2.6425097564241797,6.408333333333334,45843.0,5033.094,67921.0,13494.880087675692
01,AL,Alabama,2021,1.05,0,0,983,248,170,4.911673066365418,3.366872666460165,3.35,50495.0,5049.196,71892.0,14238.306455126718
01,AL,Alabama,2022,1.05,0,0,988,250,181,4.924962289563749,3.565672697644154,2.4916666666666667,51660.0,5076.181,71631.0,14111.198950549635
